Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Kukulin I.","'The golden age of Soviet Antiquity': Sovietisms in the discourse of left-wing political movements in post-Soviet Russia, 1991-2013",2014,"The Vernaculars of Communism: Language, Ideology and Power in the Soviet Union and Eastern Europe",,,,"196","220",,,10.4324/9781315762173,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960533573&doi=10.4324%2f9781315762173&partnerID=40&md5=bcc219334467b044544f2b4a57ba27a1","National Research University, Higher School of Economics, Moscow, Russian Federation","Kukulin, I., National Research University, Higher School of Economics, Moscow, Russian Federation",[краткое описание не найдено],,,,"Taylor and Francis Inc.",,,,,,9781317647478; 9781138792357,,"English","The Vernaculars of Communism: Lang., Ideol. and Power in the Sov. Union and East. Eur.",Book Chapter,Scopus,2-s2.0-84960533573
"Régnier M., Furletova E., Yakovlev V., Roytberg M.","Analysis of pattern overlaps and exact computation of P-values of pattern occurrences numbers: Case of Hidden Markov Models",2014,"Algorithms for Molecular Biology",,,,"1","21",,1,10.1186/s13015-014-0025-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928652874&doi=10.1186%2fs13015-014-0025-1&partnerID=40&md5=66283e1aa6a617cf1db92265a6d70b90","INRIA, d'Estienne d'Orves 1, Palaiseau, 91120 France; Institute of Mathematical Problems of Biology, 142290, Institutskaya, 4, Pushchino, Russia; Pushchino State University, 142290, Prospect Nauki, 5, Pushchino, Russia; Laboratoire J.-V. Poncelet (UMI 2615), 119002, Bolshoy Vlasyevskiy Pereulok, 11, Moscow, Russia; National Research University Higher School of Economics, 101978, Myasnitskaya str., 20, Moscow, Russia; Moscow Institute of Physics and Technology, 141700, Institutsky pereulok, 11, Moscow Region, Dolgoprudny, Russia; CNRS, d'Estienne d'Orves 1, Palaiseau, 91120 France; LIX, Ecole Polytechnique, Batiment A. Turing, Palaiseau, 91128 France","Régnier, M., INRIA, d'Estienne d'Orves 1, Palaiseau, 91120 France, CNRS, d'Estienne d'Orves 1, Palaiseau, 91120 France, LIX, Ecole Polytechnique, Batiment A. Turing, Palaiseau, 91128 France; Furletova, E., Institute of Mathematical Problems of Biology, 142290, Institutskaya, 4, Pushchino, Russia, Pushchino State University, 142290, Prospect Nauki, 5, Pushchino, Russia; Yakovlev, V., Institute of Mathematical Problems of Biology, 142290, Institutskaya, 4, Pushchino, Russia, National Research University Higher School of Economics, 101978, Myasnitskaya str., 20, Moscow, Russia; Roytberg, M., Institute of Mathematical Problems of Biology, 142290, Institutskaya, 4, Pushchino, Russia, Laboratoire J.-V. Poncelet (UMI 2615), 119002, Bolshoy Vlasyevskiy Pereulok, 11, Moscow, Russia, National Research University Higher School of Economics, 101978, Myasnitskaya str., 20, Moscow, Russia, Moscow Institute of Physics and Technology, 141700, Institutsky pereulok, 11, Moscow Region, Dolgoprudny, Russia","Background: Finding new functional fragments in biological sequences is a challenging problem. Methods addressing this problem commonly search for clusters of pattern occurrences that are statistically significant. A measure of statistical significance is the P-value of a number of pattern occurrences, i.e. the probability to find at least S occurrences of words from a pattern in a random text of length N generated according to a given probability model. All words of the pattern are supposed to be of same length. Results: We present a novel algorithm SufPref that computes an exact P-value for Hidden Markov models (HMM). The algorithm is based on recursive equations on text sets related to pattern occurrences; the equations can be used for any probability model. The algorithm inductively traverses a specific data structure, an overlap graph. The nodes of the graph are associated with the overlaps of words from . The edges are associated to the prefix and suffix relations between overlaps. An originality of our data structure is that pattern need not be explicitly represented in nodes or leaves. The algorithm relies on the Cartesian product of the overlap graph and the graph of HMM states; this approach is analogous to the automaton approach from JBCB 4: 553-569. The gain in size of SufPref data structure leads to significant improvements in space and time complexity compared to existent algorithms. The algorithm SufPref was implemented as a C++ program; the program can be used both as Web-server and a stand alone program for Linux and Windows. The program interface admits special formats to describe probability models of various types (HMM, Bernoulli, Markov); a pattern can be described with a list of words, a PSSM, a degenerate pattern or a word and a number of mismatches. It is available at http://server2.lpm.org.ru/bio/online/sf/ . The program was applied to compare sensitivity and specificity of methods for TFBS prediction based on P-values computed for Bernoulli models, Markov models of orders one and two and HMMs. The experiments show that the methods have approximately the same qualities. © 2014 Regnier et al.; licensee BioMed Central.","Hidden Markov model; P-value; Pattern occurrences; PSSM (PWM)",,,"BioMed Central Ltd.",,,,,17487188,,,"English","Algorithms Mol. Biol.",Article in Press,Scopus,2-s2.0-84928652874
"You Z., Osipov Y., Bedrikovetsky P., Kuzmina L.","Asymptotic model for deep bed filtration",2014,"Chemical Engineering Journal","258",,,"374","385",,23,10.1016/j.cej.2014.07.051,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906060832&doi=10.1016%2fj.cej.2014.07.051&partnerID=40&md5=3ab31df28ac073c778dae2b5c7b13e00","Australian School of Petroleum, The University of Adelaide, SA 5005, Australia; Moscow State University of Civil Engineering, 26 Yaroslavskoe shosse, Moscow 129337, Russian Federation; National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation","You, Z., Australian School of Petroleum, The University of Adelaide, SA 5005, Australia; Osipov, Y., Moscow State University of Civil Engineering, 26 Yaroslavskoe shosse, Moscow 129337, Russian Federation; Bedrikovetsky, P., Australian School of Petroleum, The University of Adelaide, SA 5005, Australia; Kuzmina, L., National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation","Asymptotic solution for non-linear stage of colloidal suspension flow in porous media is developed. The expansion is performed behind the concentration front; the zero order approximation coincides with the short-time solution of the linearised system. Using the first order approximation allows significantly enhancing the validity time period for the analytical model if compared with the linearised solution, allowing using the long-term experimental breakthrough concentration history for the model adjustment. Laboratory injection tests for three size colloids are performed. The asymptotic solution is used to tune the model parameters from the breakthrough histories of two size particles; good quality of matching is observed. The breakthrough concentration history for the third size particles is compared with the prediction by the adjusted model; good quality prediction is observed. The above serves for validation of the asymptotic method for the model tuning and prediction of non-linear colloidal suspension flow in porous media. © 2014 Elsevier B.V.","Colloid; Deep bed filtration; Pore size distribution; Porous media; Size exclusion; Stochastic model","Colloids; Filtration; Forecasting; Pore size; Porous materials; Stochastic models; Pore size; Porous materials; Stochastic models; Asymptotic method; Asymptotic solutions; Colloidal suspensions; Deep bed filtration; First-order approximations; Quality prediction; Size exclusion; Zero-order approximation; Asymptotic model; Suspensions (fluids); Colloids",,"Elsevier",,,,,13858947,,CMEJA,"English","Chem. Eng. J.",Article,Scopus,2-s2.0-84906060832
"Chugunov A.O., Volynsky P.E., Krylov N.A., Boldyrev I.A., Efremov R.G.","Liquid but durable: Molecular dynamics simulations explain the unique properties of archaeal-like membranes",2014,"Scientific Reports","4",, 7462,"","",,9,10.1038/srep07462,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948460072&doi=10.1038%2fsrep07462&partnerID=40&md5=5e6d1e773cdb1656d09b09d76480d80d","M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation; Joint Supercomputer Center, Russian Academy of Sciences, Leninsky prospect, 32a, Moscow, Russian Federation; Moscow Institute of Physics and Technology (State University), Dolgoprudny, Moscow Region, Russian Federation; Higher School of Economics, Myasnitskaya ul. 20, Moscow, Russian Federation","Chugunov, A.O., M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation; Volynsky, P.E., M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation; Krylov, N.A., M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation, Joint Supercomputer Center, Russian Academy of Sciences, Leninsky prospect, 32a, Moscow, Russian Federation; Boldyrev, I.A., M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation; Efremov, R.G., M.M. Shemyakin and Yu.A.Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, ul. Miklukho-Maklaya, 16/10, Moscow, Russian Federation, Moscow Institute of Physics and Technology (State University), Dolgoprudny, Moscow Region, Russian Federation, Higher School of Economics, Myasnitskaya ul. 20, Moscow, Russian Federation","Archaeal plasma membranes appear to be extremely durable and almost impermeable to water and ions, in contrast to the membranes of Bacteria and Eucaryota. Additionally, they remain liquid within a temperature range of 0-100°C. These are the properties that have most likely determined the evolutionary fate of Archaea, and it may be possible for bionanotechnology to adopt these from nature. In this work, we use molecular dynamics simulations to assess at the atomistic level the structure and dynamics of a series of model archaeal membranes with lipids that have tetraether chemical nature and ""branched"" hydrophobic tails. We conclude that the branched structure defines dense packing and low water permeability of archaeal-like membranes, while at the same time ensuring a liquid-crystalline state, which is vital for living cells. This makes tetraether lipid systems promising in bionanotechnology and material science, namely for design of new and unique membrane nanosystems.",,"artificial membrane; lipid bilayer; membrane lipid; water; archaeon; artificial membrane; biophysics; cell membrane; chemistry; lipid bilayer; metabolism; molecular dynamics; Archaea; Biophysical Phenomena; Cell Membrane; Lipid Bilayers; Membrane Lipids; Membranes, Artificial; Molecular Dynamics Simulation; Water",,"Nature Publishing Group",,,,,20452322,,,"English","Sci. Rep.",Article,Scopus,2-s2.0-84948460072
"Smith W.C.","The global transformation toward testing for accountability [A mudança global para exames de responsabilização] [La transformación global hacia los exámenes de rendición de cuentas]",2014,"Education Policy Analysis Archives","22",, 116,"","",34,13,10.14507/epaa.v22.1571,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937573648&doi=10.14507%2fepaa.v22.1571&partnerID=40&md5=c2e3e086869133fcdf42efac1b180ef8","The Pennsylvania State University, United States; National Research University, Higher School of Economics, Russian Federation","Smith, W.C., The Pennsylvania State University, United States, National Research University, Higher School of Economics, Russian Federation","To ensure equal access to high quality education, the global expansion of universal basic education has included accountability measures in the form of academic tests. Presently the majority of countries participate in national testing; however, the past two decades have seen a substantial shift in test characteristics and aims. This article investigates the global transformation toward testing for accountability, where intentional or unintentional positive or negative consequences are applied to educators (teachers and administrators) based on their student’s test scores, in light of the emerging global culture, identified by World Culture theorists. Elements of the world culture – including the expansion of western education models, an emphasis on academic intelligence, faith in science as a rational path to truth, and the decentralization of authority to the local level – justify the establishment of testing for accountability systems. Descriptive evidence from regional and international datasets, such as PISA, PIRLS, and TIMSS, illustrate the speed at which this transformation occurs. The convergence of countries toward testing for accountability and its position as an increasingly normative policy lever is illustrated in brief vignettes from the diverse systems of Hungary, Mexico, and South Korea. As testing for accountability becomes embedded in the world culture as a legitimate tool for education reform it is less prone to critical reflection. If the potential benefits and concerns of testing for accountability, outlined in this article, are not thoughtfully evaluated this global transformation will lead to a testing culture that is internalized as normative and adopted as individual values. © 2014, Arizona State University. All rights reserved.","Accountability; Education policy; Globalization; New right; Testing; World culture",,,"Arizona State University",,,,,10682341,,,"English","Educ. Policy Anal. Arch.",Article,Scopus,2-s2.0-84937573648
"Tovar-García E.D.","Market discipline: A review of the Mexican deposit market",2014,"Latin American Economic Review","23","1", 6,"","",,6,10.1007/s40503-014-0006-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957539531&doi=10.1007%2fs40503-014-0006-2&partnerID=40&md5=3d22b00b6a21e570d3063142ed12397f","National Research University, Higher School of Economics (HSE), Myasnitskaya Street, 20, Moscow, Russian Federation","Tovar-García, E.D., National Research University, Higher School of Economics (HSE), Myasnitskaya Street, 20, Moscow, Russian Federation","This paper studies the mechanisms of market discipline in the Mexican deposit market. It tests the hypothesis that low-quality banks pay higher interest rates on deposits, receive fewer deposits, and shift their deposit agreements from long to short term. This hypothesis was assessed with positive evidence in Mexico during the period 1991-1996, but was not checked again. This research uses a dynamic panel model and a sample of 37 banks from December 2008 to September 2012 to re-evaluate the market discipline hypothesis. The findings suggest a weak presence of discipline induced by depositors. Principally, market discipline is absent within market sectors. © 2014 The Author(s).","Bank risk; Deposit market; Market discipline; Mexico",,,"Springer Science and Business Media Deutschland GmbH",,,,,21983526,,,"English","Lat. Am. Econ. Rev.",Review,Scopus,2-s2.0-84957539531
"Sanina A. G.","Visual political irony in Russian new media",2014,"Discourse, Context and Media","6",,,"11","21",,4,10.1016/j.dcm.2014.05.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971260890&doi=10.1016%2fj.dcm.2014.05.003&partnerID=40&md5=bf198bc964a59a1c912486dd03d83f8d","National Research University Higher School of Economics, Moscow, Russian Federation","Sanina, A. G., National Research University Higher School of Economics, Moscow, Russian Federation","In modern Russia, official political discourse is routinely confronted by challenges from internet-based means of communication. Novel forms of political dialog have become widespread in new media, especially in terms of dialog initiated by ""ordinary"" people, who use irony and visual images to express their dissatisfaction with politicians' activities. This study suggests the characteristics of a special aspect of a computer-mediated political discourse in Russia. It demonstrates contextual and instrumental features of a visual political irony in new media based on a case study of the LiveJournal Internet community ""Potsreotizm"". An analysis of the instruments that members of this Internet community use to create visual irony leads to the conclusion that in the virtual space, myths and concepts created by the political elite are being constantly interpreted with the help of irony and humor, and people increasingly treat these myths and concepts critically at the level of daily social routine. Reflection, context and visual representation, which are necessary to create ironical discourse, offer original vocabularies for organizing public dialog within new media. Community members' worldviews are not preordained by the state but are shaped by cultural, social and cognitive processes in virtual forms of communication. © 2014 Elsevier Ltd.","Internet community; New media; Russian political discourse; Visual irony",,,"Elsevier B.V.",,,,,22116958,,,"English","Discourse, Context Media",Article,Scopus,2-s2.0-84971260890
"Podinovski V.V.","Decision making under uncertainty with unknown utility function and rank-ordered probabilities",2014,"European Journal of Operational Research","239","2",,"537","541",,7,10.1016/j.ejor.2014.05.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904644922&doi=10.1016%2fj.ejor.2014.05.023&partnerID=40&md5=c3e69d1659bd6c83768257a3b142cf52","National Research University, Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation","Podinovski, V.V., National Research University, Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation","We consider the ranking of decision alternatives in decision analysis problems under uncertainty, under very weak assumptions about the type of utility function and information about the probabilities of the states of nature. Namely, the following two assumptions are required for the suggested method: the utility function is in the class of increasing continuous functions, and the probabilities of the states of nature are rank-ordered. We develop a simple analytical method for the partial ranking of decision alternatives under the stated assumptions. This method does not require solving optimization programs and is free of the rounding errors. © 2014 Elsevier B.V. All rights reserved.","Decision analysis under uncertainty; Incomplete information; Utility theory","Decision making; Probability; Analytical method; Continuous functions; Decision making under uncertainty; Incomplete information; Optimization programs; Partial rankings; Utility functions; Utility theory; Decision theory",,"Elsevier",,,,,03772217,,EJORD,"English","Eur J Oper Res",Article,Scopus,2-s2.0-84904644922
"Davydova Y., Sokolov V.","The real effects of financial constraints: Evidence from a debt subsidization program targeted at strategic firms",2014,"Journal of Empirical Finance","29",,,"247","265",,,10.1016/j.jempfin.2014.07.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028173010&doi=10.1016%2fj.jempfin.2014.07.006&partnerID=40&md5=38c954527a85d2675516e4ee999e9fe5","CitiGroup Global Markets Prime Finance Risk, London, United Kingdom; International College of Economics and Finance, NRU - Higher School of Economics, Moscow, Russian Federation","Davydova, Y., CitiGroup Global Markets Prime Finance Risk, London, United Kingdom; Sokolov, V., International College of Economics and Finance, NRU - Higher School of Economics, Moscow, Russian Federation","We investigate the rationale and impact of the corporate debt subsidization program implemented by the Russian government during the recent financial crisis. Employing the difference-in-difference approach, we show that the program did not have a significant impact on capital investments of subsidy recipients, contrary to its intentions. We also find that a matched group of non-recipients on average exhibited a higher degree of cash hoarding behavior than subsidy-recipients in the post-program period, which suggests that the program eased external financial constraints of recipient-firms. Consistent with the theory on precautionary cash savings by firms, we further find that firms non-recipients based in cities with low banking development accumulated more cash holdings than recipients based in cities with a high banking development. Overall, our findings indicate that greater cash holdings are positively associated with the level of financial constraints of firms. © 2014 Elsevier B.V.","Banking development; Cash holdings; Crisis; Debt subsidy; Financial constraints; Strategic firms",,,"Elsevier B.V.",,,,,09275398,,JEFIE,"English","J. Empir. Financ.",Article,Scopus,2-s2.0-85028173010
"Danilov V.G., Gaydukov R.K., Kretov V.I., Rudnev V.Y.","Modeling of liquid nuclei generation for field-emission silicon nanocathode",2014,"IEEE Transactions on Electron Devices","61","12", 6932480,"4232","4239",,,10.1109/TED.2014.2361168,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919832320&doi=10.1109%2fTED.2014.2361168&partnerID=40&md5=6f85a9db2b3d982213f4a37e086acdcb","National Research University Higher School of Economics, Moscow, Russian Federation; Moscow Technical University of Communications and Informatics, Moscow, Russian Federation","Danilov, V.G., National Research University Higher School of Economics, Moscow, Russian Federation; Gaydukov, R.K., National Research University Higher School of Economics, Moscow, Russian Federation, Moscow Technical University of Communications and Informatics, Moscow, Russian Federation; Kretov, V.I., National Research University Higher School of Economics, Moscow, Russian Federation; Rudnev, V.Y., National Research University Higher School of Economics, Moscow, Russian Federation, Moscow Technical University of Communications and Informatics, Moscow, Russian Federation","This paper presents the results of mathematical modeling of heat transfer in the field emission process in a conic cathode of small dimensions with its possible melting considered. It is shown that the possibility of melting is determined by the cathode vertex angle. The melting is modeled in the framework of the phase field system using the proposed methods for the formation of the liquid phase zone. © 2014 IEEE.","Field emission; heat transfer; melting and solidification; numerical simulation","Computer simulation; Field emission; Field emission cathodes; Heat transfer; Liquids; Melting; Emission process; Liquid Phase; Melting and solidification; Model of heat transfers; Phase fields; Vertex angle; Field emission displays",,"Institute of Electrical and Electronics Engineers Inc.",,,,,00189383,,IETDA,"English","IEEE Trans. Electron Devices",Article,Scopus,2-s2.0-84919832320
